"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","支払月","7月支払金額","8月繰越残高","8月以降支払金額"
"2025/06/07","マスター国内利用　MYY ﾖﾄﾞﾊﾞｼｶﾒﾗ ｼﾝｼﾞﾕｸ","本人","1回払い","3632","0","3632","7月","3632","0",""
"2025/06/07","マスター国内利用　MZZ ｺｸｻｲｼﾞﾄﾞｳｼﾔ","本人","1回払い","4100","0","4100","7月","4100","0",""
"2025/06/07","マスター国内利用　MZZ ｻﾌﾞﾅ-ﾄﾞ/NFC","本人","1回払い","18545","0","18545","7月","18545","0",""
"2025/06/07","マスター国内利用　MZZ ﾕﾆｸﾛ/NFC","本人","1回払い","5428","0","5428","7月","5428","0",""
"2025/06/07","マスター国内利用　MZZ ﾀｲｺｸﾘﾖｳﾘﾊﾞﾝﾀｲ/NF","本人","1回払い","7260","0","7260","7月","7260","0",""
"2025/06/07","マスター国内利用　MYY ｾﾌﾞﾝ ｲﾚﾌﾞﾝ","本人","1回払い","810","0","810","7月","810","0",""
"2025/06/07","マスター国内利用　MZZ ﾋﾉﾏﾙｼﾞﾄﾞｳｼﾔ","本人","1回払い","3900","0","3900","7月","3900","0",""
"2025/06/07","Ｓｕｉｃａチャージ（楽天ペイ）　        704388","本人","1回払い","3000","0","3000","7月","3000","0",""
"2025/06/06","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","150","0","150","7月","150","0",""
"2025/06/06","マスター国内利用　MZZ JRﾄｳｶｲ(ｲﾂﾊﾟﾝｶ-ﾄﾞ","本人","1回払い","8570","0","8570","7月","8570","0",""
"2025/06/06","楽天Ｅｄｙクレカチャージ　        700426","本人","1回払い","3000","0","3000","7月","3000","0",""
"2025/06/05","マスター国内利用　MYY ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","590","0","590","7月","590","0",""
"2025/06/04","ファミリーマート　ﾄﾖﾊｼﾆﾊｼﾗ","本人","1回払い","923","0","923","7月","923","0",""
"2025/06/03","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","480","0","480","7月","480","0",""
"2025/06/03","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","160","0","160","7月","160","0",""
"2025/06/03","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","160","0","160","7月","160","0",""
"2025/05/30","楽天Ｅｄｙクレカチャージ　        702445","本人","1回払い","3000","0","3000","7月","3000","0",""
"2025/05/26","楽天Ｅｄｙクレカチャージ　        702486","本人","1回払い","3000","0","3000","7月","3000","0",""
