"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","6月支払金額","7月繰越残高","新規サイン"
"2025/05/13","AMAZON.CO.JP","本人","1回払い","9300","0","9300","9300","0","*"
"2025/05/12","ﾔﾏﾅｶ/ﾌﾗﾝﾃ","本人","1回払い","933","0","933","933","0","*"
"2025/05/12","楽天Ｅｄｙクレカチャージ","本人","1回払い","3000","0","3000","3000","0","*"
"2025/05/11","楽天モバイル通信料","本人","1回払い","3281","0","3281","3281","0","*"
"2025/05/11","ｷﾞｮｳｻﾞﾉｵｳｼｮｳ ﾄﾖﾊ","本人","1回払い","990","0","990","990","0","*"
"2025/05/11","ﾔﾏﾅｶ/ﾌﾗﾝﾃ","本人","1回払い","3171","0","3171","3171","0","*"
"2025/05/11","APPLE COM BILL","本人","1回払い","980","0","980","980","0","*"
"2025/05/11","ｶﾙﾐｱ","本人","1回払い","1479","0","1479","1479","0","*"
"2025/05/11","ｽﾀ-ﾊﾞﾂｸｽｺ-ﾋ-ｼﾞﾔﾊ","本人","1回払い","579","0","579","579","0","*"
"2025/05/10","ファミリーマート","本人","1回払い","426","0","426","426","0","*"
"2025/05/08","ｱﾏｿﾞﾝﾌﾟﾗｲﾑｶｲﾋ","本人","1回払い","600","0","600","600","0","*"
"2025/05/06","APPLE COM BILL","本人","1回払い","150","0","150","150","0","*"
"2025/05/05","JRﾋｶﾞｼﾆﾎﾝ ﾐﾄﾞ ﾘﾉﾏﾄﾞ","本人","1回払い","8570","0","8570","8570","0","*"
"2025/05/05","ｽｷﾔ","本人","1回払い","970","0","970","970","0","*"
"2025/05/05","AMAZON.CO.JP","本人","1回払い","1201","0","1201","1201","0","*"
"2025/05/04","ﾆｸｼﾞﾙｽｲｷﾞﾖｳｻﾞｷﾞﾖ","本人","1回払い","3700","0","3700","3700","0","*"
"2025/05/04","Ｓｕｉｃａチャージ（楽天ペイ）","本人","1回払い","3000","0","3000","3000","0","*"
"2025/05/04","楽天Ｅｄｙクレカチャージ","本人","1回払い","3000","0","3000","3000","0","*"
"2025/05/03","AMAZON WEB SERVI","本人","1回払い","13","0","13","13","0","*"
"2025/05/03","ｽﾀ-ﾊﾞﾂｸｽｺ-ﾋ-ｼﾞﾔﾊ","本人","1回払い","1010","0","1010","1010","0","*"
"2025/05/02","ｱﾐﾌﾟﾚﾐｱﾑ ｱｳﾄﾚﾂﾄ","本人","1回払い","2662","0","2662","2662","0","*"
"2025/05/02","ニッポンレンタカー","本人","1回払い","13150","0","13150","13150","0","*"
"2025/05/02","ｽﾀｰﾊﾞﾂｸｽﾓﾘﾔSAｸﾀﾞ","本人","1回払い","481","0","481","481","0","*"
"2025/05/02","Ｓｕｉｃａチャージ（楽天ペイ）","本人","1回払い","3000","0","3000","3000","0","*"
"2025/05/02","ＥＮＥＯＳ－ＳＳ","本人","1回払い","2332","0","2332","2332","0","*"
"2025/05/02","ＥＴＣカード売上","ETC","1回払い","1250","0","1250","1250","0","*"
"","ｽｽﾞｶﾞﾓﾘ    ｼﾞﾖｳﾊﾞﾝﾄﾞ","","","","","","","",""
"2025/05/02","ＥＴＣカード売上","ETC","1回払い","1580","0","1580","1580","0","*"
"","ｼﾞﾖｳﾊﾞﾝﾄﾞｳ ﾊﾏｶﾜｻｷ","","","","","","","",""
"2025/05/02","ＥＴＣカード売上","ETC","1回払い","2430","0","2430","2430","0","*"
"","ｱﾐﾋｶﾞｼ     ﾋﾀﾁﾅｶﾎﾝｾﾝ","","","","","","","",""
"2025/05/02","ＥＴＣカード売上","ETC","1回払い","110","0","110","110","0","*"
"","ﾋﾀﾁﾅｶﾎﾝｾﾝ  ﾋﾀﾁﾅｶﾎﾝｾﾝ","","","","","","","",""
"2025/05/02","ＥＴＣカード売上","ETC","1回払い","110","0","110","110","0","*"
"","ﾋﾀﾁﾅｶﾎﾝｾﾝ  ﾋﾀﾁﾅｶﾎﾝｾﾝ","","","","","","","",""
"2025/05/02","ＥＴＣカード売上","ETC","1回払い","3090","0","3090","3090","0","*"
"","ﾋﾀﾁﾅｶﾎﾝｾﾝ  ﾐｻﾄ","","","","","","","",""
"2025/05/02","ＥＴＣカード売上","ETC","1回払い","1640","0","1640","1640","0","*"
"","ﾐｻﾄ        ｱﾐﾋｶﾞｼ","","","","","","","",""
"2025/05/01","グランツリー　専門店（食品）","本人","1回払い","690","0","690","690","0","*"
"2025/04/30","ｺﾞﾃﾝﾊﾞﾌﾟﾚﾐｱﾑ ｱｳﾄ","本人","1回払い","10395","0","10395","10395","0","*"
"2025/04/30","ｺﾞﾃﾝﾊﾞﾌﾟﾚﾐｱﾑ ｱｳﾄ","本人","1回払い","2103","0","2103","2103","0","*"
"2025/04/30","ＥＮＥＯＳ－ＳＳ","本人","1回払い","1307","0","1307","1307","0","*"
"2025/04/30","ＥＴＣカード売上","ETC","1回払い","2620","0","2620","2620","0","*"
"","ﾄｳｷﾖｳ      ｺﾞﾃﾝﾊﾞ","","","","","","","",""
"2025/04/30","ＥＴＣカード売上","ETC","1回払い","2620","0","2620","2620","0","*"
"","ｺﾞﾃﾝﾊﾞ     ﾄｳｷﾖｳ","","","","","","","",""
"2025/04/26","Ｓｕｉｃａチャージ（楽天ペイ）","本人","1回払い","3000","0","3000","3000","0","*"
